"dwel";"y";"h";"lco2";"n"
"17257";0;1;1.83259571459405;7.0464296736699;1
"17267";0;0;2.35619449019234;6.70510345571493;1
"17268";0;0;2.35619449019234;6.62878514713238;1
"17269";0;0;2.35619449019234;6.62878514713238;1
"17270";0;0;2.35619449019234;6.62878514713238;1
"17271";0;0;2.61799387799149;6.58918435349661;1
"17272";0;0;2.61799387799149;6.58918435349661;1
"17273";0;0;2.61799387799149;6.58918435349661;1
"17274";0;0;2.61799387799149;6.58918435349661;1
"17275";0;0;2.61799387799149;6.58918435349661;1
"17276";0;0;2.61799387799149;6.58918435349661;1
"17277";0;0;2.87979326579064;6.58918435349661;1
"17278";0;0;2.87979326579064;6.58918435349661;1
"17279";0;0;2.87979326579064;6.54615752358019;1
"17280";0;0;2.87979326579064;6.54615752358019;1
"17281";0;0;2.87979326579064;6.54615752358019;1
"17282";0;0;2.87979326579064;6.54615752358019;1
"17283";0;0;3.14159265358979;6.50119582229294;1
"17284";0;0;3.14159265358979;6.54615752358019;1
"17285";0;0;3.14159265358979;6.54615752358019;1
"17286";0;0;3.14159265358979;6.50119582229294;1
"17287";0;0;3.14159265358979;6.50119582229294;1
"17288";0;0;3.14159265358979;6.50119582229294;1
"17289";0;0;3.40339204138894;6.50119582229294;1
"17290";0;0;3.40339204138894;6.50119582229294;1
"17291";0;0;3.40339204138894;6.50119582229294;1
"17292";0;0;3.40339204138894;6.54615752358019;1
"17293";0;0;3.40339204138894;6.54615752358019;1
"17294";0;0;3.40339204138894;6.54615752358019;1
"17295";0;0;3.66519142918809;6.5035393902744;1
"17296";0;0;3.66519142918809;6.50119582229294;1
"17297";0;0;3.66519142918809;6.5035393902744;1
"17298";0;0;3.66519142918809;6.50119582229294;1
"17299";0;0;3.66519142918809;6.50119582229294;1
"17300";0;0;3.66519142918809;6.50119582229294;1
"17301";0;0;3.92699081698724;6.50119582229294;1
"17302";0;0;3.92699081698724;6.50119582229294;1
"17303";0;0;3.92699081698724;6.50119582229294;1
"17304";0;0;3.92699081698724;6.50119582229294;1
"17305";0;0;3.92699081698724;6.58918435349661;1
"17306";0;0;3.92699081698724;6.50119582229294;1
"17307";0;0;4.18879020478639;6.50119582229294;1
"17308";0;0;4.18879020478639;6.45608260642113;1
"17309";0;0;4.18879020478639;6.35708374666895;1
"17310";0;0;4.18879020478639;6.35708374666895;1
"17311";0;0;4.18879020478639;6.30250450032838;1
"17312";0;0;4.18879020478639;6.24416690066374;1
"17313";0;0;4.45058959258554;6.24719628801534;1
"17314";0;0;4.45058959258554;6.18608001480765;1
"17315";0;0;4.45058959258554;6.18608001480765;1
"17316";0;0;4.45058959258554;6.12029741895095;1
"17317";0;0;4.45058959258554;6.12029741895095;1
"17318";0;0;4.45058959258554;6.12372560194502;1
"17319";0;0;4.71238898038469;6.18608001480765;1
"17320";0;0;4.71238898038469;6.18608001480765;1
"17321";0;0;4.71238898038469;6.18608001480765;1
"17322";0;0;4.71238898038469;6.18608001480765;1
"17323";0;0;4.71238898038469;6.18608001480765;1
"17324";0;0;4.71238898038469;6.18608001480765;1
"17325";0;0;4.97418836818384;6.18608001480765;1
"17326";0;0;4.97418836818384;6.12029741895095;1
"17327";0;0;4.97418836818384;6.18608001480765;1
"17328";0;0;4.97418836818384;6.18608001480765;1
"17329";0;0;4.97418836818384;6.12372560194502;1
"17330";0;0;4.97418836818384;6.12372560194502;1
"17331";0;0;5.23598775598299;6.12372560194502;1
"17332";0;0;5.23598775598299;6.12372560194502;1
"17333";0;0;5.23598775598299;6.12029741895095;1
"17334";0;0;5.23598775598299;6.12372560194502;1
"17335";0;0;5.23598775598299;6.05429262189085;1
"17336";0;0;5.23598775598299;6.05429262189085;1
"17337";0;0;5.49778714378214;6.12372560194502;1
"17338";0;0;5.49778714378214;6.05429262189085;1
"17339";0;0;5.49778714378214;6.05429262189085;1
"17340";0;0;5.49778714378214;6.05429262189085;1
"17341";0;0;5.49778714378214;6.05429262189085;1
"17342";0;0;5.49778714378214;6.12029741895095;1
"17343";0;0;5.75958653158129;6.24719628801534;1
"17344";0;0;5.75958653158129;6.24719628801534;1
"17345";0;0;5.75958653158129;6.24416690066374;1
"17346";0;0;5.75958653158129;6.18608001480765;1
"17347";0;0;5.75958653158129;6.18608001480765;1
"17348";0;0;5.75958653158129;6.18608001480765;1
"17349";0;0;6.02138591938044;6.18608001480765;1
"17350";0;0;6.02138591938044;6.18608001480765;1
"17351";0;0;6.02138591938044;6.40677684543697;1
"17352";0;0;6.02138591938044;6.45608260642113;1
"17353";0;0;6.02138591938044;6.45608260642113;1
"17354";0;0;6.02138591938044;6.45608260642113;1
"17355";0;0;0;6.40677684543697;1
"17356";0;0;0;6.45608260642113;1
"17357";0;0;0;6.54615752358019;1
"17358";0;0;0;6.54615752358019;1
"17359";0;0;0;6.66846646654693;1
"17360";0;0;0;6.66846646654693;1
"17361";0;0;0.261799387799149;6.77778895252211;1
"17362";0;0;0.261799387799149;6.87439237531302;1
"17363";0;0;0.261799387799149;6.90587851896928;1
"17364";0;0;0.261799387799149;6.93609975199128;1
"17365";0;0;0.261799387799149;6.93457976385854;1
"17366";0;0;0.261799387799149;7.0973420467675;1
