"room";"start";"end";"weekday";"hour";"presence";"time";"censor"
"277";"4202";2015-05-22 13:01:21;2015-05-22 14:46:21;"Friday";13.0166666666667;0;1.75;0
"279";"4202";2015-05-22 15:16:21;2015-05-22 15:31:21;"Friday";15.2666666666667;0;0.25;0
"281";"4202";2015-05-22 16:16:21;2015-05-22 20:46:21;"Friday";16.2666666666667;0;4.5;1
"284";"4202";2015-05-25 05:01:21;2015-05-25 09:31:21;"Monday";5.01666666666667;0;4.5;0
"286";"4202";2015-05-25 11:31:21;2015-05-25 13:01:21;"Monday";11.5166666666667;0;1.5;0
"288";"4202";2015-05-25 16:46:21;2015-05-25 20:46:21;"Monday";16.7666666666667;0;4;1
"289";"4202";2015-05-26 05:01:21;2015-05-26 16:01:21;"Tuesday";5.01666666666667;0;11;0
"291";"4202";2015-05-26 17:46:21;2015-05-26 18:16:21;"Tuesday";17.7666666666667;0;0.5;0
"293";"4202";2015-05-26 18:46:21;2015-05-26 20:46:21;"Tuesday";18.7666666666667;0;2;1
"294";"4202";2015-05-27 05:01:21;2015-05-27 11:01:21;"Wednesday";5.01666666666667;0;6;0
"296";"4202";2015-05-27 12:46:21;2015-05-27 14:31:21;"Wednesday";12.7666666666667;0;1.75;0
"298";"4202";2015-05-27 15:31:21;2015-05-27 20:46:21;"Wednesday";15.5166666666667;0;5.25;1
"299";"4202";2015-05-28 05:01:21;2015-05-28 16:16:21;"Thursday";5.01666666666667;0;11.25;0
"301";"4202";2015-05-28 18:16:21;2015-05-28 20:46:21;"Thursday";18.2666666666667;0;2.5;1
"302";"4202";2015-05-29 05:01:21;2015-05-29 20:46:21;"Friday";5.01666666666667;0;15.75;1
"305";"4202";2015-06-01 05:01:21;2015-06-01 08:31:21;"Monday";5.01666666666667;0;3.5;0
"307";"4202";2015-06-01 09:31:21;2015-06-01 12:46:21;"Monday";9.51666666666667;0;3.25;0
"309";"4202";2015-06-01 13:31:21;2015-06-01 13:46:21;"Monday";13.5166666666667;0;0.25;0
"311";"4202";2015-06-01 16:01:21;2015-06-01 20:46:21;"Monday";16.0166666666667;0;4.75;1
"312";"4202";2015-06-02 05:01:21;2015-06-02 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"313";"4202";2015-06-03 05:01:21;2015-06-03 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"314";"4202";2015-06-04 05:01:21;2015-06-04 20:46:21;"Thursday";5.01666666666667;0;15.75;1
"315";"4202";2015-06-05 05:01:21;2015-06-05 20:46:21;"Friday";5.01666666666667;0;15.75;1
"318";"4202";2015-06-08 05:01:21;2015-06-08 20:46:21;"Monday";5.01666666666667;0;15.75;1
"319";"4202";2015-06-09 05:01:21;2015-06-09 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"320";"4202";2015-06-10 05:01:21;2015-06-10 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"321";"4202";2015-06-11 05:01:21;2015-06-11 07:46:21;"Thursday";5.01666666666667;0;2.75;0
"323";"4202";2015-06-11 09:01:21;2015-06-11 12:01:21;"Thursday";9.01666666666667;0;3;0
"325";"4202";2015-06-11 13:16:21;2015-06-11 16:16:21;"Thursday";13.2666666666667;0;3;0
"327";"4202";2015-06-11 18:01:21;2015-06-11 20:46:21;"Thursday";18.0166666666667;0;2.75;1
"328";"4202";2015-06-12 05:01:21;2015-06-12 20:46:21;"Friday";5.01666666666667;0;15.75;1
"331";"4202";2015-06-15 05:01:21;2015-06-15 08:46:21;"Monday";5.01666666666667;0;3.75;0
"333";"4202";2015-06-15 09:31:21;2015-06-15 10:01:21;"Monday";9.51666666666667;0;0.5;0
"335";"4202";2015-06-15 11:01:21;2015-06-15 11:31:21;"Monday";11.0166666666667;0;0.5;0
"337";"4202";2015-06-15 13:01:21;2015-06-15 14:46:21;"Monday";13.0166666666667;0;1.75;0
